INSERT INTO TEMPERATURE_EVENTS(locationid, date, hour, temperature, wind) VALUES('4', '2019-04-17 06:30:00','06','32',  '0.54');
INSERT INTO TEMPERATURE_EVENTS(locationid, date, hour, temperature, wind) VALUES('4', '2019-04-17 06:30:00','06','35',  '0.54');
INSERT INTO TEMPERATURE_EVENTS(locationid, date, hour, temperature, wind) VALUES('4', '2019-04-17 06:30:00','06','36',  '0.54');
INSERT INTO TEMPERATURE_EVENTS(locationid, date, hour, temperature, wind) VALUES('4', '2019-04-17 06:30:00','06','37',  '0.54');
INSERT INTO TEMPERATURE_EVENTS(locationid, date, hour, temperature, wind) VALUES('4', '2019-04-17 07:30:00','07','30',  '0.54');
INSERT INTO TEMPERATURE_EVENTS(locationid, date, hour, temperature, wind) VALUES('4', '2019-04-17 07:30:00','07','30',  '0.54');
INSERT INTO TEMPERATURE_EVENTS(locationid, date, hour, temperature, wind) VALUES('4', '2019-04-17 07:30:00','07','37',  '0.54');
INSERT INTO TEMPERATURE_EVENTS(locationid, date, hour, temperature, wind) VALUES('4', '2019-04-17 07:30:00','07','30',  '0.54');
INSERT INTO TEMPERATURE_EVENTS(locationid, date, hour, temperature, wind) VALUES('4', '2019-04-17 08:30:00','08','30',  '0.54');
INSERT INTO TEMPERATURE_EVENTS(locationid, date, hour, temperature, wind) VALUES('4', '2019-04-17 08:30:00','08','90',  '0.54');
INSERT INTO TEMPERATURE_EVENTS(locationid, date, hour, temperature, wind) VALUES('4', '2019-04-17 08:30:00','08','30',  '0.54');
INSERT INTO TEMPERATURE_EVENTS(locationid, date, hour, temperature, wind) VALUES('4', '2019-04-17 08:30:00','08','30',  '0.54');
INSERT INTO TEMPERATURE_EVENTS(locationid, date, hour, temperature, wind) VALUES('4', '2019-04-17 08:30:00','08','30',  '0.54');
INSERT INTO TEMPERATURE_EVENTS(locationid, date, hour, temperature, wind) VALUES('4', '2019-04-17 09:30:00','09','70',  '0.54');
INSERT INTO TEMPERATURE_EVENTS(locationid, date, hour, temperature, wind) VALUES('4', '2019-04-17 09:30:00','09','80',  '0.54');
INSERT INTO TEMPERATURE_EVENTS(locationid, date, hour, temperature, wind) VALUES('4', '2019-04-17 09:30:00','09','30',  '0.54');
INSERT INTO TEMPERATURE_EVENTS(locationid, date, hour, temperature, wind) VALUES('4', '2019-04-17 09:30:00','09','30',  '0.54');
INSERT INTO TEMPERATURE_EVENTS(locationid, date, hour, temperature, wind) VALUES('4', '2019-04-17 10:30:00','10','35',  '0.54');
INSERT INTO TEMPERATURE_EVENTS(locationid, date, hour, temperature, wind) VALUES('4', '2019-04-17 11:30:00','11','30',  '0.54');
INSERT INTO TEMPERATURE_EVENTS(locationid, date, hour, temperature, wind) VALUES('4', '2019-04-17 06:30:00','06','39',  '0.54');
INSERT INTO TEMPERATURE_EVENTS(locationid, date, hour, temperature, wind) VALUES('4', '2019-04-17 06:30:00','06','60',  '0.54');
INSERT INTO TEMPERATURE_EVENTS(locationid, date, hour, temperature, wind) VALUES('4', '2019-04-18 06:30:00','06','12',  '0.54');
